Name,Lat,Long
"J1","51.2140713666","-0.608403056858"
"G1","51.2136620146","-0.609061005288"
"H1","51.2138264829","-0.607767468043"
"H2","51.2133959128","-0.607707575657"
"G2","51.2133855314","-0.60849663773"
"B1","51.2128461762","-0.608512894061"
"C1","51.2129241523","-0.607508332996"
"D1","51.2129562087","-0.606700877067"
"E1","51.2123158121","-0.606674634258"
"B2","51.2123916076","-0.608097080529"
"A1","51.2128563833","-0.609371622973"
"A2","51.2122481868","-0.608863989924"
"C2","51.2125202702","-0.607315183482"
"K1","51.2119370376","-0.607681275129"
"K2","51.2112860051","-0.607815916859"
"H3","51.2134575458","-0.606991133437"
