name,lat,lon,type
Ygen,51.21176580198823,-0.6069195024857098,gen
Xgen,51.213204627392415,-0.6080519359836671,gen
H2,51.213371333913486,-0.6076809717555922,EPS63-3
G2,51.213407834327995,-0.6084816480539815,EPS63-3
B1,51.21286847913061,-0.6084979045726796,EPS63-3
D1,51.21297770819324,-0.6067192652821525,EPS63-3
H1,51.21380418005358,-0.6077824582029039,EPS32-3
G1,51.2136393713853,-0.6090473699838707,EPS32-3
E1,51.212334295445196,-0.6066814139143963,EPS63-3
J1,51.21404971494088,-0.608390712460557,EPS32-3
G1_DK2,51.213654687139844,-0.6090497720382847,TOB32
E1_DK1,51.21232238790864,-0.6066631610244023,TOB16
G1_DK1,51.21366906994724,-0.6090493386974108,TOB32
D1_DK2,51.212948584777465,-0.6066900778471125,TOB32
C1,51.212946455168705,-0.6074933429988935,EPS63-3
D1_DK1,51.212962967572196,-0.6066896437820347,TOB32
C2,51.212539895253414,-0.6073337993767407,EPS32-3
A1,51.21283374012987,-0.6093579877457339,EPS32-3
A2,51.21227045280645,-0.608873856248924,EPS32-3
B2,51.21241425094588,-0.6081107150085814,EPS32-3
GateB,51.21336897463841,-0.6063495212243498,SOB
C1_DK2,51.212916824703655,-0.607497100172802,TOB32
H3,51.21346460090228,-0.6069794665857884,SOB
B1_DK2,51.21283884862791,-0.6085016610950176,TOB32
A1_DK1,51.21286343869185,-0.6093599566349807,TOB32
C1_DK1,51.21293120750339,-0.6074966663596306,TOB32
B1_DK1,51.212853231433975,-0.6085012275960066,TOB32
Workshop1_Dist,51.21312516632614,-0.6089855485565331,EPS63-3
Workshop2_Dist,51.21155746306103,-0.6079003164648441,EPS63-3
Badge_Dist,51.21164515910851,-0.6080909504398572,EPS63-3
StageB_B,51.213202342476535,-0.6082158114761004,TOB32
StageB_A,51.21227023582963,-0.6077213366477229,TOB32
StageA_B,51.211997198648554,-0.6066915870523452,TOB32
Workshop1_A,51.2130951812382,-0.6090351309930162,TOB32
