Name,Lat,Long
"Stage A","51.2119471817","-0.607022387401"
"Container","51.211224464","-0.606743539968"
"Stage C","51.2123172799","-0.607656756382"
"Info","51.212094387","-0.607180742513"
"First Aid","51.2122016061","-0.607243784265"
"Green Room","51.2122931734","-0.607309695424"
"Volunteer","51.2120471794","-0.607398694984"
"Kid 2","51.2135330724","-0.608048348623"
"Entrance","51.213415509","-0.606337536345"
"Kids 1","51.2135251045","-0.608134493767"
"Bar","51.2117282563","-0.607690115354"
"Lounge","51.2119057689","-0.607951076279"
"Vendors/Hack center","51.2112093818","-0.606987380145"
"Cold Room","51.2116373782","-0.60768753184"
"Stage B","51.2132236743","-0.608323979401"
"HQ","51.2117057948","-0.606986213133"
"NOC","51.211704175","-0.606937982359"
"Badge","51.2116958389","-0.6081184205"
"Nottinghack 1","51.2126630509","-0.607664504806"
"Nottinghack 2","51.2126784969","-0.607608955529"
"Haxors of the roses","51.2128298316","-0.607138928848"
"Workshop 2","51.2116129424","-0.607908251459"
"Arcade","51.2118729862","-0.608351754222"
"Workshop 1","51.213165883","-0.609031527124"
